image,model,psnr,ssim,mae,mse,rmse,lpips
00690.png,RetinexNet,16.679919704486505,0.6734831429221496,0.10205626,0.021478701,0.14655613600255704,
00691.png,RetinexNet,16.591585134937528,0.629192611575189,0.10261454,0.021920048,0.14805420628945332,
00692.png,RetinexNet,18.19193310927009,0.7182121131599581,0.09763737,0.015163752,0.12314118726080239,
00693.png,RetinexNet,18.82792400245051,0.7379807887329187,0.090666726,0.013098079,0.11444683918745856,
00694.png,RetinexNet,19.545999629781,0.71231774231833,0.084906206,0.0111019695,0.1053658839473195,
00695.png,RetinexNet,19.5630443099161,0.7135686679372785,0.08474814,0.011058483,0.10515932198336009,
00696.png,RetinexNet,16.649555885362307,0.620005025596199,0.12507857,0.021629397,0.1470693611871623,
00697.png,RetinexNet,16.60627030977254,0.6125904594792916,0.12547325,0.021846052,0.14780410007844844,
00698.png,RetinexNet,18.617466966082286,0.5900349450371895,0.091713525,0.013748436,0.11725372488752756,
00699.png,RetinexNet,18.62492778059869,0.5701711613986165,0.09141484,0.013724837,0.11715304946948671,
00700.png,RetinexNet,16.348291943487773,0.6569233345998545,0.13403615,0.023183063,0.15225985353992694,
00701.png,RetinexNet,16.39997749879545,0.6661742021886691,0.13331491,0.022908796,0.15135651951600895,
00702.png,RetinexNet,14.189434605828136,0.6465671888502699,0.1541827,0.038111545,0.1952217841328165,
00703.png,RetinexNet,14.18142544526454,0.6456768309077556,0.15433809,0.038181894,0.19540187818954044,
00704.png,RetinexNet,14.14447433677839,0.6441146391777784,0.15480436,0.038508143,0.1962349178917962,
00705.png,RetinexNet,16.48069716358616,0.6112086269984326,0.12499067,0.022486936,0.14995644701045702,
00706.png,RetinexNet,16.12083630243278,0.6208288811503145,0.12536201,0.0244296,0.15629971209186536,
00707.png,RetinexNet,16.41763650559076,0.6118857696610164,0.1250829,0.022815835,0.15104911452901668,
00708.png,RetinexNet,18.570379166589507,0.6176661107597147,0.09173138,0.013898313,0.11789110653480185,
00709.png,RetinexNet,18.554631081382947,0.6298722721375022,0.091992855,0.013948801,0.11810504222936462,
00710.png,RetinexNet,16.821032379318165,0.7408756885742215,0.11554215,0.020792024,0.14419439656241848,
00711.png,RetinexNet,16.80845028959823,0.7408486231716603,0.11563408,0.020852348,0.1444034210121076,
00712.png,RetinexNet,21.70004250278162,0.8527442404074748,0.06323903,0.0067607635,0.08222386210827122,
00713.png,RetinexNet,21.628259443964165,0.8523144558848119,0.06405546,0.0068734386,0.08290620362795537,
00714.png,RetinexNet,17.275688944025816,0.7291697542538662,0.11072455,0.0187254,0.1368407833944252,
00715.png,RetinexNet,16.818172425208957,0.7134777293386675,0.119819455,0.02080572,0.14424188018741296,
00716.png,RetinexNet,15.837540515057304,0.7621475880633984,0.14714815,0.026076298,0.16148157170401828,
00717.png,RetinexNet,17.434697076163896,0.6032126129199042,0.09846246,0.018052207,0.1343585017778927,
00718.png,RetinexNet,12.363460096496627,0.6580210640782529,0.2257151,0.058030188,0.24089455784637395,
00719.png,RetinexNet,12.368022107504393,0.660289800781846,0.22542322,0.057969265,0.2407680730495636,
00720.png,RetinexNet,17.05229720347686,0.7093459120211018,0.12584844,0.019713797,0.14040582965105117,
00721.png,RetinexNet,16.24131049270497,0.688993104302611,0.14013325,0.023761231,0.15414678394309755,
00722.png,RetinexNet,12.56228565447756,0.6625898769628321,0.21716407,0.05543339,0.23544296549270696,
00723.png,RetinexNet,12.70579643532461,0.6652560730077623,0.21708123,0.05363155,0.23158486565404052,
00724.png,RetinexNet,12.73160436336068,0.5786436388360289,0.21003987,0.05331379,0.23089779124105972,
00725.png,RetinexNet,12.630954945761845,0.5917112729730696,0.21334243,0.054563787,0.23358892739168952,
00726.png,RetinexNet,12.529566206717684,0.6875538704068358,0.22347276,0.0558526,0.2363315467727489,
00727.png,RetinexNet,12.622186558203165,0.6796360196171952,0.21917826,0.054674063,0.2338248553939465,
00728.png,RetinexNet,12.585490870926732,0.6420105715089611,0.21903285,0.05513799,0.23481479936324284,
00729.png,RetinexNet,12.455094797019514,0.7225953794640597,0.22592042,0.0568186,0.23836652449536616,
00730.png,RetinexNet,12.297245374587131,0.7197740375889863,0.23075931,0.058921725,0.242737976015291,
00731.png,RetinexNet,15.332260689275987,0.7626973962395732,0.15524659,0.02929368,0.1711539657735105,
00732.png,RetinexNet,15.063577688882926,0.7547510838412116,0.16084427,0.031163214,0.17653105675772748,
00733.png,RetinexNet,15.908913387215248,0.7387317321294109,0.13480751,0.025651257,0.16016009802694303,
00734.png,RetinexNet,15.905860993802744,0.7407208648041332,0.13385476,0.025669293,0.16021639429221968,
