image,best_model,best_psnr,worst_model,worst_psnr,spread
00755.png,DecomNetRetinexTapetumRGB,32.044847350617786,RetinexTapetum,12.186548159756786,19.858299190861
00756.png,DecomNetRetinexTapetumRGB,31.999184961733715,RetinexTapetum,12.164778698789704,19.83440626294401
00744.png,DecomNetRetinexTapetum,26.513090875775656,RetinexTapetum,11.557305757425008,14.955785118350649
00751.png,DecomNetRetinexTapetum,26.215586662039975,RetinexTapetum,11.606031318294047,14.609555343745928
00720.png,DecomNetRetinexTapetum,25.94562300452499,RetinexTapetum,12.963826010310902,12.981796994214088
00741.png,DecomNetRetinexTapetumRGB,25.535308379314895,RetinexTapetum,12.539897270907435,12.99541110840746
00721.png,DecomNetRetinexTapetumRGB,25.43397041352607,RetinexTapetum,12.883795085734926,12.550175327791143
00748.png,DecomNetRetinexTapetumRGB,25.025906964301704,RetinexTapetum,11.911368844837412,13.114538119464292
00747.png,DecomNetRetinexTapetumRGB,24.851485933440678,RetinexTapetum,11.858661220943137,12.99282471249754
00750.png,DecomNetRetinexTapetum,24.396258321708665,RetinexTapetum,10.536014916136121,13.860243405572543
00752.png,DecomNetRetinexTapetum,24.285750681465125,RetinexTapetum,11.832127891115505,12.45362279034962
00757.png,DecomNetRetinexTapetum,23.055339190138923,RetinexTapetum,9.645886329843973,13.40945286029495
00737.png,DecomNetRetinexTapetumRGB,22.869704789383853,RetinexTapetum,13.098090646706488,9.771614142677365
00738.png,DecomNetRetinexTapetumRGB,22.848885085905152,RetinexTapetum,12.902523003718132,9.94636208218702
00749.png,DecomNetRetinexTapetum,22.81412114319723,RetinexTapetum,10.860604674230089,11.953516468967141
00701.png,DecomNetRetinexTapetumRGB,22.408163337311912,RetinexTapetum,12.799818196575231,9.608345140736681
00700.png,DecomNetRetinexTapetumRGB,22.295775868586006,RetinexTapetum,12.799452220400369,9.496323648185637
00743.png,DecomNetRetinexTapetumRGB,22.242230510834318,RetinexTapetum,13.360453869213188,8.88177664162113
