image,DecomNetRetinexTapetum,DecomNetRetinexTapetumRGB,RetinexNet,RetinexTapetum,RetinexTapetumRGB
00690.png,457.2572937011719,611.65966796875,0.021478701,7009.19873046875,6496.1220703125
00691.png,493.90020751953125,645.5697631835938,0.021920048,7023.08544921875,6511.2080078125
00692.png,689.41259765625,867.883544921875,0.015163752,8305.70703125,7862.82666015625
00693.png,749.6929931640625,974.2405395507812,0.013098079,8199.900390625,7749.48388671875
00694.png,1147.198974609375,1487.2847900390625,0.0111019695,9216.384765625,8685.779296875
00695.png,1146.7972412109375,1487.1378173828125,0.011058483,9222.1201171875,8691.8837890625
00696.png,1235.526611328125,1384.61962890625,0.021629397,8426.27734375,8106.14208984375
00697.png,1238.9818115234375,1383.1336669921875,0.021846052,8430.841796875,8110.935546875
00698.png,716.94482421875,867.6715698242188,0.013748436,8211.962890625,7949.83837890625
00699.png,720.7361450195312,872.3550415039062,0.013724837,8198.3818359375,7935.35986328125
00700.png,548.4080200195312,383.2681884765625,0.023183063,3412.990966796875,2916.869384765625
00701.png,536.4925537109375,373.4771423339844,0.022908796,3412.703369140625,2915.74462890625
00702.png,3202.06005859375,3481.647705078125,0.038111545,14556.3154296875,13977.9443359375
00703.png,3216.44091796875,3497.944091796875,0.038181894,14573.431640625,13996.1357421875
00704.png,3249.360595703125,3532.162109375,0.038508143,14639.48828125,14066.947265625
00705.png,2395.745361328125,2718.39599609375,0.022486936,13538.6298828125,13111.6064453125
00706.png,2656.65771484375,3028.881103515625,0.0244296,13453.2138671875,13018.7822265625
00707.png,2419.77197265625,2739.9013671875,0.022815835,13550.1357421875,13123.919921875
00708.png,494.7803955078125,598.3107299804688,0.013898313,5540.98779296875,5148.5244140625
00709.png,471.3075866699219,556.3846435546875,0.013948801,5354.05419921875,4952.08984375
00710.png,1438.685546875,1266.5145263671875,0.020792024,5230.64501953125,4472.00732421875
00711.png,1445.162353515625,1273.588134765625,0.020852348,5251.666015625,4492.5126953125
00712.png,1308.1085205078125,1390.65283203125,0.0067607635,7015.7978515625,6012.95556640625
00713.png,1327.582275390625,1411.4697265625,0.0068734386,6922.298828125,5918.40185546875
00714.png,592.0999755859375,651.7103271484375,0.0187254,3901.921142578125,3498.747802734375
00715.png,572.5934448242188,611.8900146484375,0.02080572,3900.99951171875,3498.8623046875
00716.png,1039.3291015625,816.4676513671875,0.026076298,3863.04638671875,3218.9404296875
00717.png,2174.466064453125,2355.204345703125,0.018052207,9567.5927734375,9095.5458984375
00718.png,1933.7615966796875,1561.7308349609375,0.058030188,1666.4788818359375,1181.151611328125
00719.png,1929.86083984375,1563.07080078125,0.057969265,1675.307373046875,1188.863525390625
00720.png,165.3933563232422,183.51890563964844,0.019713797,3286.228515625,2997.15673828125
00721.png,202.0549774169922,186.07298278808594,0.023761231,3347.347900390625,3062.09326171875
00722.png,1255.185791015625,1125.3994140625,0.05543339,1404.327880859375,1125.3121337890625
00723.png,1238.722900390625,1088.4515380859375,0.05363155,1363.2117919921875,1084.1041259765625
00724.png,1034.8310546875,894.5755615234375,0.05331379,1817.853515625,1565.948974609375
00725.png,1097.6043701171875,947.8971557617188,0.054563787,1733.1004638671875,1479.8389892578125
00726.png,1307.1826171875,1155.01025390625,0.0558526,1425.5780029296875,1111.4405517578125
00727.png,1229.142578125,1137.062744140625,0.054674063,1502.6656494140625,1187.691162109375
00728.png,1239.0548095703125,1144.8837890625,0.05513799,1554.2149658203125,1243.1011962890625
00729.png,1711.9808349609375,1353.070556640625,0.0568186,803.88037109375,479.1125183105469
00730.png,1806.5894775390625,1467.382568359375,0.058921725,832.4312133789062,504.6343688964844
00731.png,639.6651611328125,507.51171875,0.02929368,2159.949951171875,1680.0596923828125
00732.png,689.2283935546875,548.7759399414062,0.031163214,2220.71728515625,1740.0782470703125
00733.png,615.3656616210938,501.7988586425781,0.025651257,2229.01025390625,1747.2142333984375
00734.png,616.6328735351562,503.7304992675781,0.025669293,2184.965087890625,1705.5994873046875
00735.png,1314.0235595703125,1256.9893798828125,0.031352498,3375.548095703125,2850.5888671875
00736.png,1300.799560546875,1243.55029296875,0.03114503,3371.753173828125,2846.268310546875
00737.png,447.6261291503906,335.82257080078125,0.022425456,3186.187255859375,2686.447021484375
00738.png,440.3759460449219,337.43634033203125,0.024344502,3332.9443359375,2836.478759765625
00739.png,493.6507263183594,762.4285278320312,0.017866904,7647.337890625,7320.0966796875
00740.png,499.4258117675781,769.2085571289062,0.018038543,7673.01123046875,7347.853515625
00741.png,301.16009521484375,181.78143310546875,0.020226916,3623.18603515625,3182.999755859375
00742.png,790.8671264648438,811.7584838867188,0.017234681,7923.3671875,7748.27685546875
00743.png,599.9961547851562,388.0228576660156,0.033931352,2999.404052734375,2583.50341796875
00744.png,145.13470458984375,151.99143981933594,0.01616694,4543.07373046875,4160.08984375
00745.png,1514.44189453125,1402.6044921875,0.031065779,3564.34814453125,3055.98828125
00746.png,1505.9664306640625,1396.349853515625,0.031319257,3623.427978515625,3115.1953125
00747.png,252.47647094726562,212.7804718017578,0.020203648,4238.52001953125,3885.79296875
00748.png,240.35362243652344,204.4041290283203,0.019640751,4187.390625,3832.569580078125
00749.png,340.14825439453125,427.25830078125,0.015664207,5333.59326171875,4947.53955078125
00750.png,236.2949981689453,336.4902038574219,0.013641589,5747.49853515625,5384.615234375
00751.png,155.42529296875,161.12625122070312,0.027810153,4492.3876953125,4227.37451171875
00752.png,242.38475036621094,244.892333984375,0.023434583,4264.49462890625,3984.447021484375
00753.png,708.138916015625,636.8367309570312,0.04921872,2652.535888671875,2432.525634765625
00754.png,691.5343627929688,618.67919921875,0.04902714,2671.3173828125,2452.3271484375
00755.png,64.00653076171875,40.60650634765625,0.038041655,3930.298583984375,3791.0283203125
00756.png,64.34902954101562,41.035701751708984,0.038055263,3950.049072265625,3812.572021484375
00757.png,321.7706604003906,382.7760314941406,0.01767895,7054.9140625,6746.61767578125
00758.png,478.2898254394531,671.89404296875,0.009889903,6585.92626953125,6244.01708984375
00759.png,646.33349609375,617.36962890625,0.026578385,2051.67529296875,1718.3331298828125
00760.png,630.2561645507812,601.2545776367188,0.029298086,2079.1259765625,1745.5672607421875
00761.png,408.88421630859375,394.580810546875,0.02767201,3285.962646484375,2950.94970703125
00762.png,413.7690734863281,413.8575134277344,0.027623747,3366.45166015625,3034.052978515625
00763.png,1773.7005615234375,1521.3660888671875,0.06991057,1584.6048583984375,1392.84228515625
00764.png,1364.681640625,1371.65576171875,0.06431772,1788.838623046875,1607.1666259765625
00765.png,986.8163452148438,1042.958251953125,0.02764148,3963.283203125,3585.028564453125
00766.png,982.2757568359375,1040.198974609375,0.027419677,3960.197265625,3581.12353515625
00767.png,1410.2176513671875,1373.8193359375,0.030829318,5827.44775390625,5604.47802734375
00768.png,1901.9681396484375,1965.517333984375,0.024233313,5306.91943359375,5048.0947265625
00769.png,778.6593627929688,695.1696166992188,0.043140117,1718.9111328125,1512.02490234375
00770.png,787.1749267578125,702.3895874023438,0.043293845,1711.212646484375,1504.5784912109375
00771.png,598.09326171875,519.361083984375,0.031293493,2206.658935546875,1905.5521240234375
00772.png,540.8328247070312,469.9384765625,0.027898302,2111.10595703125,1805.6790771484375
00773.png,442.3198547363281,566.03955078125,0.017847663,7005.17919921875,6719.5712890625
00774.png,446.4515075683594,490.0643615722656,0.020804392,7132.7744140625,6857.5166015625
00775.png,528.0186767578125,577.0899047851562,0.022280084,4030.356201171875,3613.5458984375
00776.png,518.6654663085938,552.1008911132812,0.026152179,4126.83251953125,3714.1474609375
00777.png,753.4602661132812,902.9118041992188,0.023289546,6116.30224609375,5803.4033203125
00778.png,767.3065185546875,942.6692504882812,0.022918982,6224.72314453125,5918.17578125
00779.png,771.8071899414062,550.4169311523438,0.03179897,2103.094482421875,1869.85791015625
00780.png,769.9170532226562,552.2822875976562,0.031909015,2132.200439453125,1899.5361328125
00781.png,1318.73583984375,1326.4111328125,0.022760877,5665.8125,5138.08837890625
00782.png,1310.0377197265625,1322.9097900390625,0.022385955,5670.947265625,5141.82275390625
00783.png,1312.3538818359375,1323.7325439453125,0.022382686,5668.13916015625,5139.283203125
00784.png,1935.4638671875,2098.292724609375,0.020273998,8925.1220703125,8572.38671875
00785.png,1941.9681396484375,2106.1689453125,0.020448906,8933.7275390625,8581.7294921875
00786.png,1942.3876953125,2105.349365234375,0.020238966,8930.1533203125,8577.740234375
00787.png,710.8353881835938,824.4642944335938,0.01964308,5662.4052734375,5525.52587890625
00788.png,780.1019287109375,902.2406005859375,0.020522233,5710.54443359375,5577.98828125
00789.png,771.6334838867188,894.7281494140625,0.020587245,5702.4033203125,5569.30224609375
