image,DecomNetRetinexTapetum,DecomNetRetinexTapetumRGB,RetinexNet,RetinexTapetum,RetinexTapetumRGB
00690.png,21.383575325496246,24.7317542436591,0.14655613600255704,83.72095753435188,80.59852399586794
00691.png,22.223865719526188,25.408064924027446,0.14805420628945332,83.80385104050261,80.69205665871021
00692.png,26.256667679967503,29.459863287562538,0.12314118726080239,91.13565181228475,88.67258121965465
00693.png,27.380522149222475,31.212826522934144,0.11444683918745856,90.55330137893924,88.03115293303132
00694.png,33.87032587102426,38.56533145247247,0.1053658839473195,96.00200396671416,93.19752838393838
00695.png,33.86439488918911,38.563425903086106,0.10515932198336009,96.03187032015725,93.230272921742
00696.png,35.15005848257048,37.21047740766369,0.1470693611871623,91.79475662449353,90.03411625513826
00697.png,35.19917344943539,37.19050506503223,0.14780410007844844,91.81961553434539,90.06073254684863
00698.png,26.775825369514756,29.45626537469098,0.11725372488752756,90.61988132096069,89.16186616993977
00699.png,26.84652947811935,29.53565711989334,0.11715304946948671,90.54491612419496,89.08063685942781
00700.png,23.418113075556093,19.577236487220624,0.15225985353992694,58.42080936444543,54.008049259028276
00701.png,23.162308902847695,19.325556714723238,0.15135651951600895,58.41834788095796,53.997635401064095
00702.png,56.586748082866094,59.0054887707756,0.1952217841328165,120.64955627638048,118.2283567336428
00703.png,56.71367487624788,59.14341968297805,0.19540187818954044,120.72046902089554,118.3052650653702
00704.png,57.00316303244168,59.43199567047198,0.1962349178917962,120.99375306704889,118.60416209233553
00705.png,48.946351869451156,52.138239288393216,0.14995644701045702,116.35561818327682,114.50592318877003
00706.png,51.54277558342925,55.03527144945889,0.15629971209186536,115.98799018513728,114.09987829337287
00707.png,49.1911777929361,52.34406716321822,0.15104911452901668,116.40505032938863,114.55967842951986
00708.png,22.243659669843282,24.460391043081646,0.11789110653480185,74.43781158100197,71.75321884112587
00709.png,21.709619680453223,23.5878070950796,0.11810504222936462,73.17140287857511,70.37108670292082
00710.png,37.93000852722024,35.5881233892318,0.14419439656241848,72.3231983497083,66.87306875131983
00711.png,38.01529104867704,35.6873665989188,0.1444034210121076,72.46837941906111,67.02620901790955
00712.png,36.1677829083815,37.291457896296436,0.08222386210827122,83.76035966710327,77.54324965079971
00713.png,36.43600246172218,37.569531891713794,0.08290620362795537,83.20035353365392,76.9311500984403
00714.png,24.333104520096434,25.528617807246,0.1368407833944252,62.46535954093377,59.15021388578722
00715.png,23.928924857256305,24.736410706657452,0.14424188018741296,62.45798196963099,59.15118176915403
00716.png,32.238627476406315,28.573898077916976,0.16148157170401828,62.153410097264576,56.735706831654966
00717.png,46.63117052415825,48.530447614905896,0.1343585017778927,97.81407247138573,95.37057144862612
00718.png,43.97455624198711,39.51874030078562,0.24089455784637395,40.82252909651652,34.367886337802695
00719.png,43.930181422841294,39.53569021506075,0.2407680730495636,40.93051884653889,34.47990031004476
00720.png,12.860534838148924,13.546914986064113,0.14040582965105117,57.32563576293769,54.74629428811826
00721.png,14.21460437075166,13.640857113395988,0.15414678394309755,57.85626932658746,55.33618401840472
00722.png,35.42860131328395,33.54697324741086,0.23544296549270696,37.47436298136868,33.54567235559696
00723.png,35.19549545596176,32.99168892442364,0.23158486565404052,36.92169811902193,32.92573652899146
00724.png,32.16879007186158,29.909456055291905,0.23089779124105972,42.636293408609056,39.57207316542027
00725.png,33.13011273927675,30.787938478594484,0.23358892739168952,41.63052322355782,38.46867542894884
00726.png,36.15498053086877,33.985441793601126,0.2363315467727489,37.7568272360071,33.33827457679555
00727.png,35.05912973998356,33.720360972869564,0.2338248553939465,38.76423157259876,34.46289544001454
00728.png,35.200210362586084,33.836131413956,0.23481479936324284,39.42353314735137,35.257640254121696
00729.png,41.37609013622406,36.784107392196226,0.23836652449536616,28.35278418592696,21.88863902371609
00730.png,42.503993665761136,38.30642985660991,0.242737976015291,28.851884052500044,22.464068395918055
00731.png,25.29160258134728,22.528020746394922,0.1711539657735105,46.47526171170933,40.98853122987957
00732.png,26.253159687067907,23.425967214640387,0.17653105675772748,47.12448710762007,41.714245133650834
00733.png,24.806564889583033,22.400867363621842,0.16016009802694303,47.21239512994707,41.799691785926335
00734.png,24.832093619651893,22.44394125967135,0.16021639429221968,46.743610128985814,41.298904190119714
00735.png,36.249462886645816,35.45404602979486,0.1770663660891023,58.09946725834175,53.390906221823016
00736.png,36.06659896007489,35.26400846427913,0.17647954555698517,58.06679923870546,53.35042933798073
00737.png,21.15717677646029,18.325462362537575,0.14975131385066376,56.44632189841403,51.83094656172483
00738.png,20.98513631227879,18.36944039245701,0.15602724762040765,57.73165800440431,53.25860268318748
00739.png,22.21825209863187,27.612108355430436,0.13366713881878373,87.44905883212809,85.55756354459552
00740.png,22.34783684761409,27.73460937400969,0.1343076431183274,87.59572609704625,85.71962153220814
00741.png,17.35396482694499,13.482634501664307,0.14222136267101368,60.192906850859515,56.41808004407253
